ingredient,fdc_id,description,Protein,Total lipid (fat),"Fatty acids, total saturated",Cholesterol,"Carbohydrate, by difference","Sodium, Na","Fiber, total dietary","Sugars, added","Vitamin A, RAE","Vitamin C, total ascorbic acid","Calcium, Ca","Iron, Fe",Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, DFE",Vitamin B-12,Biotin,Pantothenic acid,"Phosphorus, P","Iodine, I","Magnesium, Mg","Zinc, Zn","Selenium, Se","Copper, Cu","Manganese, Mn","Chromium, Cr","Molybdenum, Mo","Chloride, Cl","Potassium, K","Choline, total"
brine,2603108,BRINE CUCUMBERS,0.0,0.0,0.0,0.0,0.0,39.13,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0
brisket,170199,"Beef, cured, corned beef, brisket, raw",29.36,19.1,23.65,18.0,0.05,52.91,0.0,0.0,0,30.0,0.54,9.39,0,0.0,0,3.58,12.08,22.88,17.06,0,0,0,11.4,9.36,0,3.33,25.91,0,12.22,0.87,0,0,0,6.32,0.0
broccoli,170379,"Broccoli, raw",5.64,0.47,0.57,0.0,2.41,1.43,9.29,0.0,0,99.11,3.62,4.06,0,5.2,0,5.92,9.0,3.99,10.29,0,0,0,11.46,5.28,0,5.0,3.73,0,5.44,9.13,0,0,0,6.72,3.4
broccoli rabe,170381,"Broccoli raab, raw",6.34,0.63,0.41,0.0,1.04,1.43,9.64,0.0,0,22.44,8.31,11.89,0,10.8,0,13.5,9.92,7.63,10.06,0,0,0,6.44,5.84,0,5.24,7.0,0,4.67,17.17,0,0,0,4.17,3.33
brown rice,2512380,"Rice, brown, long grain, unenriched, raw",14.51,4.24,0.0,0.0,27.89,0.0,10.79,0.0,0,0.0,0.62,6.9,0,0.0,0,27.19,7.88,39.19,9.45,0,0,0,0.0,24.22,0,27.38,16.85,0,29.54,117.22,0,0,0,5.32,0.0
brownie,172713,"Cookies, brownies, commercially prepared",9.6,20.9,21.18,5.67,23.24,12.43,7.5,0.0,0,0.0,2.23,12.5,0,1.0,0,21.25,16.15,10.76,2.06,0,0,0,10.94,8.08,0,7.38,6.55,0,24.89,5.57,0,0,0,3.17,1.82
brussel sprout,2685575,"Brussels sprouts, raw",7.97,0.72,0.0,0.0,3.5,1.12,17.09,0.0,0,158.78,2.97,4.06,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,6.28,0,5.95,3.33,0,4.27,10.43,0,0,0,10.14,0.0
buffalo,175293,"Bison, ground, grass-fed, raw",40.46,9.24,14.58,18.33,0.02,3.04,0.0,0.0,0,0.0,0.85,15.44,0,1.27,0,11.75,18.92,33.26,22.53,0,0,0,0.0,15.52,0,5.0,41.73,0,15.56,0.0,0,0,0,6.98,15.6
bulgur,2710820,"Bulgur, dry, raw",23.51,3.1,0.0,0.0,27.59,0.09,41.86,0.0,0,0.0,2.62,14.58,0,0.0,0,18.86,0.0,32.38,13.11,0,0,0,0.0,24.97,0,28.31,19.54,0,41.93,114.61,0,0,0,7.62,0.0
burrito,2708534,"Burrito, NFS",22.2,10.95,17.4,7.33,8.69,21.13,8.93,0.0,0,0.22,8.0,13.22,0,0.53,0,19.67,14.69,18.38,8.29,0,0,0,0.0,13.84,0,5.95,16.36,0,10.78,0.0,0,0,0,4.51,5.07
butter,789828,"Butter, stick, unsalted",0.0,104.49,0.0,78.0,0.0,0.43,0.0,0.0,0,0.0,1.08,0.17,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.52,0,0.38,0.64,0,0.11,0.0,0,0,0,0.4,0.0
